,AMVSAD,AHD-MSDA
0,0,"tensor(0.0065, device='cuda:0', grad_fn=<SumBackward0>)"
1,"tensor(0.0065, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0082, device='cuda:0', grad_fn=<SumBackward0>)"
2,"tensor(0.0082, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<SumBackward0>)"
3,"tensor(0.0073, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0152, device='cuda:0', grad_fn=<SumBackward0>)"
4,"tensor(0.0152, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0120, device='cuda:0', grad_fn=<SumBackward0>)"
5,"tensor(0.0120, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0135, device='cuda:0', grad_fn=<SumBackward0>)"
6,"tensor(0.0135, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0089, device='cuda:0', grad_fn=<SumBackward0>)"
7,"tensor(0.0089, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0136, device='cuda:0', grad_fn=<SumBackward0>)"
8,"tensor(0.0136, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0078, device='cuda:0', grad_fn=<SumBackward0>)"
9,"tensor(0.0078, device='cuda:0', grad_fn=<SumBackward0>)","tensor(0.0073, device='cuda:0', grad_fn=<SumBackward0>)"
